selector,policy,depth,delegation,n,accuracy,p50_latency_s,p50_model_input_chars,p50_surfaced_chars
stuff,single,1,none,8,0.5,2.3449999999999998,2438.5,288.0
stuff,single,1,llm,8,0.25,4.15,2849.5,134.5
stuff,single,2,rlm,8,1.0,9.21,9044.0,2143.0
stuff,single,2,llm,8,1.0,5.375,3264.5,174.5
stuff,expand,1,none,8,0.375,2.485,2442.5,288.0
stuff,expand,1,llm,8,0.375,4.550000000000001,2849.5,140.5
stuff,expand,2,rlm,8,1.0,10.504999999999999,9044.0,2140.0
stuff,expand,2,llm,8,1.0,6.285,3264.5,170.5
stuff,iterative,1,none,8,0.5,2.6399999999999997,2438.5,288.0
stuff,iterative,1,llm,8,0.25,4.5600000000000005,2849.5,128.5
stuff,iterative,2,rlm,8,0.875,9.195,8930.0,2140.5
stuff,iterative,2,llm,8,1.0,5.869999999999999,3264.5,174.5
grep,single,1,none,8,0.5,2.62,2502.0,287.0
grep,single,1,llm,8,0.625,4.875,2911.0,153.0
grep,single,2,rlm,8,0.625,8.125,9101.5,2128.0
grep,single,2,llm,8,0.625,4.890000000000001,3325.5,131.5
grep,expand,1,none,8,0.125,2.545,2492.0,287.5
grep,expand,1,llm,8,0.625,6.465,2901.0,148.5
grep,expand,2,rlm,8,0.625,9.66,9093.5,2163.5
grep,expand,2,llm,8,0.625,5.91,3315.5,140.0
grep,iterative,1,none,8,0.5,2.9800000000000004,2502.0,287.0
grep,iterative,1,llm,8,0.625,4.8149999999999995,2911.0,140.0
grep,iterative,2,rlm,8,0.625,8.61,8993.0,2157.0
grep,iterative,2,llm,8,0.625,5.4,3325.5,147.0
bm25,single,1,none,8,0.625,3.6900000000000004,2478.5,284.0
bm25,single,1,llm,8,0.5,4.465,2889.5,147.0
bm25,single,2,rlm,8,0.875,8.925,8970.0,2131.0
bm25,single,2,llm,8,1.0,5.5600000000000005,3304.5,147.0
bm25,expand,1,none,8,0.625,2.425,2471.5,282.0
bm25,expand,1,llm,8,0.375,4.37,2882.5,145.5
bm25,expand,2,rlm,8,0.875,8.455,8963.5,2113.0
bm25,expand,2,llm,8,1.0,4.73,3297.5,164.0
bm25,iterative,1,none,8,0.5,4.1850000000000005,2932.5,282.0
bm25,iterative,1,llm,8,0.25,5.505,3343.5,138.0
bm25,iterative,2,rlm,8,0.875,10.6,9424.0,2124.0
bm25,iterative,2,llm,8,1.0,6.359999999999999,3758.5,164.0
embed,single,1,none,6,0.3333333333333333,2.92,2491.0,288.0
